Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
Alice in Wonderland ,Tim Burton,108,Johnny Depp,Alan Rickman,Anne Hathaway,334185206,200000000,2010
X-Men: The Last Stand ,Brett Ratner,104,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,234360014,210000000,2006
Monsters University ,Dan Scanlon,104,Steve Buscemi,Tyler Labine,Sean Hayes,268488329,200000000,2013
Transformers: Revenge of the Fallen ,Michael Bay,150,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,402076689,200000000,2009
Transformers: Age of Extinction ,Michael Bay,165,Bingbing Li,Sophia Myles,Kelsey Grammer,245428137,210000000,2014
Oz the Great and Powerful ,Sam Raimi,130,Tim Holmes,Mila Kunis,James Franco,234903076,215000000,2013
The Amazing Spider-Man 2 ,Marc Webb,142,Emma Stone,Andrew Garfield,B.J. Novak,202853933,200000000,2014
TRON: Legacy ,Joseph Kosinski,125,Jeff Bridges,Olivia Wilde,James Frain,172051787,170000000,2010
Cars 2 ,John Lasseter,106,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,191450875,200000000,2011
Green Lantern ,Martin Campbell,123,Ryan Reynolds,Temuera Morrison,Taika Waititi,116593191,200000000,2011
Toy Story 3 ,Lee Unkrich,103,Tom Hanks,John Ratzenberger,Don Rickles,414984497,200000000,2010
Terminator Salvation ,McG,118,Christian Bale,Bryce Dallas Howard,Common,125320003,200000000,2009
Furious 7 ,James Wan,140,Jason Statham,Paul Walker,Vin Diesel,350034110,190000000,2015
World War Z ,Marc Forster,123,Peter Capaldi,Brad Pitt,Mireille Enos,202351611,190000000,2013
X-Men: Days of Future Past ,Bryan Singer,149,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,233914986,200000000,2014
Star Trek Into Darkness ,J.J. Abrams,132,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,228756232,190000000,2013
Jack the Giant Slayer ,Bryan Singer,114,Eddie Marsan,Ewen Bremner,Ralph Brown,65171860,195000000,2013
The Great Gatsby ,Baz Luhrmann,143,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,144812796,105000000,2013
Prince of Persia: The Sands of Time ,Mike Newell,116,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,90755643,200000000,2010
Pacific Rim ,Guillermo del Toro,131,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,101785482,190000000,2013
Transformers: Dark of the Moon ,Michael Bay,154,Glenn Morshower,Lester Speight,Kevin Dunn,352358779,195000000,2011
Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,122,Harrison Ford,Ray Winstone,Jim Broadbent,317011114,185000000,2008
The Good Dinosaur ,Peter Sohn,93,A.J. Buckley,Jack McGraw,Peter Sohn,123070338,,2015
Brave ,Mark Andrews,93,Kelly Macdonald,John Ratzenberger,Julie Walters,237282182,185000000,2012
Star Trek Beyond ,Justin Lin,122,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,130468626,185000000,2016
WALL·E ,Andrew Stanton,98,John Ratzenberger,Fred Willard,Jeff Garlin,223806889,180000000,2008
Rush Hour 3 ,Brett Ratner,91,Tzi Ma,Dana Ivey,Noémie Lenoir,140080850,140000000,2007
2012 ,Roland Emmerich,158,Oliver Platt,Liam James,Tom McCarthy,166112167,200000000,2009
A Christmas Carol ,Robert Zemeckis,96,Robin Wright,Colin Firth,Gary Oldman,137850096,200000000,2009
Jupiter Ascending ,Lana Wachowski,127,Channing Tatum,Mila Kunis,Eddie Redmayne,47375327,176000000,2015
The Legend of Tarzan ,David Yates,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,124051759,180000000,2016
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Andrew Adamson,150,Jim Broadbent,Kiran Shah,Shane Rangi,291709845,180000000,2005
X-Men: Apocalypse ,Bryan Singer,144,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,154985087,178000000,2016
The Dark Knight ,Christopher Nolan,152,Christian Bale,Heath Ledger,Morgan Freeman,533316061,185000000,2008
Up ,Pete Docter,96,John Ratzenberger,Delroy Lindo,Jess Harnell,292979556,175000000,2009
Monsters vs. Aliens ,Rob Letterman,94,Amy Poehler,Rainn Wilson,Stephen Colbert,198332128,175000000,2009
Iron Man ,Jon Favreau,126,Robert Downey Jr.,Jeff Bridges,Jon Favreau,318298180,140000000,2008
Hugo ,Martin Scorsese,126,Chloë Grace Moretz,Christopher Lee,Ray Winstone,73820094,170000000,2011
Wild Wild West ,Barry Sonnenfeld,106,Will Smith,Salma Hayek,Bai Ling,113745408,170000000,1999
The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,112,Jet Li,Brendan Fraser,Russell Wong,102176165,145000000,2008
Suicide Squad ,David Ayer,123,Will Smith,Robin Atkin Downes,Ike Barinholtz,161087183,175000000,2016
Evan Almighty ,Tom Shadyac,96,Jimmy Bennett,Morgan Freeman,Steve Carell,100289690,175000000,2007
Edge of Tomorrow ,Doug Liman,113,Tom Cruise,Lara Pulver,Noah Taylor,100189501,178000000,2014
Waterworld ,Kevin Reynolds,176,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,88246220,175000000,1995
G.I. Joe: The Rise of Cobra ,Stephen Sommers,118,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,150167630,175000000,2009
Inside Out ,Pete Docter,95,Amy Poehler,Mindy Kaling,Phyllis Smith,356454367,175000000,2015
The Jungle Book ,Jon Favreau,106,Scarlett Johansson,Bill Murray,Garry Shandling,362645141,175000000,2016
Iron Man 2 ,Jon Favreau,124,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,312057433,200000000,2010
Snow White and the Huntsman ,Rupert Sanders,132,Chris Hemsworth,Kristen Stewart,Sam Claflin,155111815,170000000,2012
Maleficent ,Robert Stromberg,97,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,241407328,180000000,2014
Dawn of the Planet of the Apes ,Matt Reeves,130,Gary Oldman,Judy Greer,Kodi Smit-McPhee,208543795,170000000,2014
The Lovers ,Roland Joffé,109,Tamsin Egerton,Alice Englert,Bipasha Basu,,,2015
47 Ronin ,Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,38297305,175000000,2013
Captain America: The Winter Soldier ,Anthony Russo,136,Scarlett Johansson,Chris Evans,Hayley Atwell,259746958,170000000,2014
Shrek Forever After ,Mike Mitchell,93,Jon Hamm,Kathy Griffin,Mary Kay Place,238371987,165000000,2010
Tomorrowland ,Brad Bird,130,Judy Greer,Chris Bauer,Thomas Robinson,93417865,190000000,2015
Big Hero 6 ,Don Hall,102,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,222487711,165000000,2014
Wreck-It Ralph ,Rich Moore,101,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,189412677,165000000,2012
The Polar Express ,Robert Zemeckis,100,Tom Hanks,Eddie Deezen,Peter Scolari,665426,165000000,2004
Independence Day: Resurgence ,Roland Emmerich,120,Vivica A. Fox,Sela Ward,Judd Hirsch,102315545,165000000,2016
How to Train Your Dragon ,Dean DeBlois,98,Gerard Butler,America Ferrera,Craig Ferguson,217387997,165000000,2010
Terminator 3: Rise of the Machines ,Jonathan Mostow,109,Nick Stahl,M.C. Gainey,Carolyn Hennesy,150350192,200000000,2003
Guardians of the Galaxy ,James Gunn,121,Bradley Cooper,Vin Diesel,Djimon Hounsou,333130696,170000000,2014
Interstellar ,Christopher Nolan,169,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,187991439,165000000,2014
Inception ,Christopher Nolan,148,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,292568851,160000000,2010
Godzilla Resurgence ,Hideaki Anno,120,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,,,2016
The Hobbit: An Unexpected Journey ,Peter Jackson,182,Aidan Turner,Adam Brown,James Nesbitt,303001229,180000000,2012
The Fast and the Furious ,Rob Cohen,106,Paul Walker,Vin Diesel,Jordana Brewster,144512310,38000000,2001
The Curious Case of Benjamin Button ,David Fincher,166,Brad Pitt,Jason Flemyng,Julia Ormond,127490802,150000000,2008
X-Men: First Class ,Matthew Vaughn,132,Jennifer Lawrence,Michael Fassbender,Oliver Platt,146405371,160000000,2011
The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,137,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,281666058,160000000,2015
The Sorcerer's Apprentice ,Jon Turteltaub,109,Nicolas Cage,Omar Benson Miller,Robert Capron,63143812,150000000,2010
Poseidon ,Wolfgang Petersen,98,Jimmy Bennett,Mike Vogel,Andre Braugher,60655503,160000000,2006
Alice Through the Looking Glass ,James Bobin,113,Johnny Depp,Alan Rickman,Anne Hathaway,76846624,170000000,2016
Shrek the Third ,Chris Miller,93,Justin Timberlake,Eric Idle,Rupert Everett,320706665,160000000,2007
Warcraft ,Duncan Jones,123,Dominic Cooper,Callum Rennie,Ruth Negga,46978995,160000000,2016
Terminator Genisys ,Alan Taylor,126,J.K. Simmons,Emilia Clarke,Matt Smith,89732035,155000000,2015
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Michael Apted,113,Bruce Spence,Shane Rangi,Laura Brent,104383624,155000000,2010
Pearl Harbor ,Michael Bay,184,Jennifer Garner,Jaime King,Mako,198539855,140000000,2001
Transformers ,Michael Bay,144,Zack Ward,Michael O'Neill,Kevin Dunn,318759914,150000000,2007
Alexander ,Oliver Stone,206,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,34293771,155000000,2004
Harry Potter and the Order of the Phoenix ,David Yates,138,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,292000866,150000000,2007
Harry Potter and the Goblet of Fire ,Mike Newell,157,Robert Pattinson,Daniel Radcliffe,Rupert Grint,289994397,150000000,2005
Hancock ,Peter Berg,102,Will Smith,Charlize Theron,Eddie Marsan,227946274,150000000,2008
I Am Legend ,Francis Lawrence,104,Will Smith,Alice Braga,Willow Smith,256386216,150000000,2007
Charlie and the Chocolate Factory ,Tim Burton,115,Johnny Depp,Christopher Lee,David Kelly,206456431,150000000,2005
Ratatouille ,Brad Bird,111,Janeane Garofalo,John Ratzenberger,Brian Dennehy,206435493,150000000,2007
Batman Begins ,Christopher Nolan,128,Christian Bale,Liam Neeson,Morgan Freeman,205343774,150000000,2005
Madagascar: Escape 2 Africa ,Eric Darnell,89,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,179982968,150000000,2008
Night at the Museum: Battle of the Smithsonian ,Shawn Levy,105,Robin Williams,Rami Malek,Steve Coogan,177243721,150000000,2009
X-Men Origins: Wolverine ,Gavin Hood,119,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,179883016,150000000,2009
The Matrix Revolutions ,Lana Wachowski,129,Essie Davis,Collin Chou,Nona Gaye,139259759,150000000,2003
Frozen ,Chris Buck,102,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,400736600,150000000,2013
The Matrix Reloaded ,Lana Wachowski,138,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,281492479,150000000,2003
Thor: The Dark World ,Alan Taylor,112,Chris Hemsworth,Natalie Portman,Anthony Hopkins,206360018,170000000,2013
Mad Max: Fury Road ,George Miller,120,Tom Hardy,Charlize Theron,Zoë Kravitz,153629485,150000000,2015
Angels & Demons ,Ron Howard,146,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,133375846,150000000,2009
Thor ,Kenneth Branagh,115,Chris Hemsworth,Natalie Portman,Anthony Hopkins,181015141,150000000,2011
Bolt ,Byron Howard,96,Chloë Grace Moretz,Diedrich Bader,James Lipton,114053579,150000000,2008
G-Force ,Hoyt Yeatman,88,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,119420252,150000000,2009
Wrath of the Titans ,Jonathan Liebesman,99,Liam Neeson,Edgar Ramírez,Lily James,83640426,150000000,2012
Dark Shadows ,Tim Burton,113,Johnny Depp,Chloë Grace Moretz,Christopher Lee,79711678,100000000,2012
Mission: Impossible - Rogue Nation ,Christopher McQuarrie,131,Tom Cruise,Jeremy Renner,Sean Harris,195000874,150000000,2015
The Wolfman ,Joe Johnston,119,Anthony Hopkins,Simon Merrells,Art Malik,61937495,150000000,2010
The Legend of Tarzan ,David Yates,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,124051759,180000000,2016
Bee Movie ,Steve Hickner,91,Matthew Broderick,Oprah Winfrey,Rip Torn,126597121,150000000,2007
Kung Fu Panda 2 ,Jennifer Yuh Nelson,90,Angelina Jolie Pitt,Gary Oldman,Mike Bell,165230261,150000000,2011
The Last Airbender ,M. Night Shyamalan,103,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,131564731,150000000,2010
Mission: Impossible III ,J.J. Abrams,124,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,133382309,150000000,2006
White House Down ,Roland Emmerich,131,Channing Tatum,Jake Weber,Matt Craven,73103784,150000000,2013
Mars Needs Moms ,Simon Wells,88,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,21379315,150000000,2011
Flushed Away ,David Bowers,85,Hugh Jackman,Kate Winslet,David Suchet,64459316,149000000,2006
Pan ,Joe Wright,111,Hugh Jackman,Cara Delevingne,Nonso Anozie,34964818,150000000,2015
Mr. Peabody & Sherman ,Rob Minkoff,92,Ty Burrell,Zach Callison,Karan Brar,111505642,145000000,2014
Troy ,Wolfgang Petersen,196,Brad Pitt,Orlando Bloom,Julian Glover,133228348,175000000,2004
Madagascar 3: Europe's Most Wanted ,Eric Darnell,93,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,216366733,145000000,2012
Die Another Day ,Lee Tamahori,133,Toby Stephens,Colin Salmon,Rick Yune,160201106,142000000,2002
Ghostbusters ,Paul Feig,116,Ed Begley Jr.,Kate McKinnon,Zach Woods,118099659,144000000,2016
Armageddon ,Michael Bay,153,Bruce Willis,Steve Buscemi,Will Patton,201573391,140000000,1998
Men in Black II ,Barry Sonnenfeld,88,Will Smith,Rosario Dawson,Rip Torn,190418803,140000000,2002
Beowulf ,Robert Zemeckis,115,Robin Wright,Anthony Hopkins,Sebastian Roché,82161969,150000000,2007
Kung Fu Panda 3 ,Alessandro Carloni,95,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,143523463,145000000,2016
Mission: Impossible - Ghost Protocol ,Brad Bird,133,Tom Cruise,Jeremy Renner,Michael Nyqvist,209364921,145000000,2011
Rise of the Guardians ,Peter Ramsey,97,Hugh Jackman,Kamil McFadden,Khamani Griffin,103400692,145000000,2012
Fun with Dick and Jane ,Dean Parisot,90,John Michael Higgins,Richard Burgi,David Herman,110332737,100000000,2005
The Last Samurai ,Edward Zwick,154,Tom Cruise,Tony Goldwyn,Chad Lindberg,111110575,140000000,2003
Exodus: Gods and Kings ,Ridley Scott,150,Christian Bale,María Valverde,Ben Mendelsohn,65007045,140000000,2014
Star Trek ,J.J. Abrams,127,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,257704099,150000000,2009
Spider-Man ,Sam Raimi,121,J.K. Simmons,James Franco,Kirsten Dunst,403706375,139000000,2002
How to Train Your Dragon 2 ,Dean DeBlois,102,Gerard Butler,Djimon Hounsou,America Ferrera,176997107,145000000,2014
Gods of Egypt ,Alex Proyas,126,Gerard Butler,Elodie Yung,Bryan Brown,31141074,140000000,2016
Stealth ,Rob Cohen,121,Sam Shepard,Joe Morton,Richard Roxburgh,31704416,135000000,2005
Watchmen ,Zack Snyder,215,Matt Frewer,Billy Crudup,Stephen McHattie,107503316,130000000,2009
Lethal Weapon 4 ,Richard Donner,127,Jet Li,Rene Russo,Darlene Love,129734803,140000000,1998
Hulk ,Ang Lee,138,Kevin Rankin,Regi Davis,Celia Weston,132122995,137000000,2003
G.I. Joe: Retaliation ,Jon M. Chu,122,Channing Tatum,Dwayne Johnson,Elodie Yung,122512052,130000000,2013
Sahara ,Breck Eisner,124,Matthew McConaughey,Rainn Wilson,Delroy Lindo,68642452,130000000,2005
Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,106,Steve Buscemi,Ming-Na Wen,Jean Simmons,32131830,137000000,2001
Captain America: The First Avenger ,Joe Johnston,124,Chris Evans,Dominic Cooper,Hayley Atwell,176636816,140000000,2011
The World Is Not Enough ,Michael Apted,128,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,126930660,135000000,1999
Master and Commander: The Far Side of the World ,Peter Weir,138,James D'Arcy,Lee Ingleby,David Threlfall,93926386,150000000,2003
The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,115,Robert Pattinson,Kristen Stewart,Taylor Lautner,292298923,120000000,2012
Happy Feet 2 ,George Miller,100,Robin Williams,Brad Pitt,Common,63992328,135000000,2011
The Incredible Hulk ,Louis Leterrier,135,Ty Burrell,Peter Mensah,William Hurt,134518390,150000000,2008
Miami Vice             ,,60,Don Johnson,Philip Michael Thomas,John Diehl,,1500000,
The BFG ,Steven Spielberg,117,Mark Rylance,Penelope Wilton,Rafe Spall,52792307,140000000,2016
The Revenant ,Alejandro G. Iñárritu,156,Leonardo DiCaprio,Tom Hardy,Lukas Haas,183635922,135000000,2015
Turbo ,David Soren,96,Ryan Reynolds,Snoop Dogg,Ben Schwartz,83024900,135000000,2013
Rango ,Gore Verbinski,107,Johnny Depp,Ray Winstone,Stephen Root,123207194,135000000,2011
Penguins of Madagascar ,Eric Darnell,92,Benedict Cumberbatch,Annet Mahendru,Andy Richter,83348920,132000000,2014
The Bourne Ultimatum ,Paul Greengrass,115,Matt Damon,Edgar Ramírez,Albert Finney,227137090,110000000,2007
Kung Fu Panda ,Mark Osborne,92,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,215395021,130000000,2008
Ant-Man ,Peyton Reed,117,Judy Greer,Hayley Atwell,T.I.,180191634,130000000,2015
The Hunger Games: Catching Fire ,Francis Lawrence,146,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,424645577,130000000,2013
The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,115,Robert Pattinson,Kristen Stewart,Taylor Lautner,292298923,120000000,2012
Home ,Tim Johnson,94,Jim Parsons,Matt Jones,April Winchell,177343675,135000000,2015
War of the Worlds ,Steven Spielberg,116,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,234277056,132000000,2005
Bad Boys II ,Michael Bay,147,Will Smith,Henry Rollins,Jordi Mollà,138396624,130000000,2003
Puss in Boots ,Chris Miller,90,Salma Hayek,Constance Marie,Amy Sedaris,149234747,130000000,2011
Salt ,Phillip Noyce,101,Angelina Jolie Pitt,Andre Braugher,August Diehl,118311368,110000000,2010
Noah ,Darren Aronofsky,138,Anthony Hopkins,Emma Watson,Logan Lerman,101160529,125000000,2014
The Adventures of Tintin ,Steven Spielberg,107,Toby Jones,Mackenzie Crook,Tony Curran,77564037,135000000,2011
Harry Potter and the Prisoner of Azkaban ,Alfonso Cuarón,142,Daniel Radcliffe,Gary Oldman,Rupert Grint,249358727,130000000,2004
Australia ,Baz Luhrmann,165,Essie Davis,Bryan Brown,Eddie Baroo,49551662,130000000,2008
After Earth ,M. Night Shyamalan,100,Will Smith,Zoë Kravitz,Glenn Morshower,60522097,130000000,2013
Dinosaur ,Eric Leighton,82,Alfre Woodard,D.B. Sweeney,Della Reese,137748063,127500000,2000
Harry Potter and the Deathly Hallows: Part II ,Matt Birch,,Rupert Grint,Dave Legeno,Ralph Ineson,,,2011
Night at the Museum: Secret of the Tomb ,Shawn Levy,98,Robin Williams,Rami Malek,Steve Coogan,113733726,127000000,2014
Megamind ,Tom McGrath,95,J.K. Simmons,Brad Pitt,Will Ferrell,148337537,130000000,2010
Harry Potter and the Sorcerer's Stone ,Chris Columbus,159,Daniel Radcliffe,Fiona Shaw,Verne Troyer,317557891,125000000,2001
R.I.P.D. ,Robert Schwentke,96,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,33592415,130000000,2013
Godzilla Resurgence ,Hideaki Anno,120,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,,,2016
Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,143,Johnny Depp,Orlando Bloom,Jack Davenport,305388685,140000000,2003
Harry Potter and the Deathly Hallows: Part I ,Matt Birch,,Rupert Grint,Toby Jones,Alfred Enoch,,,2010
The Hunger Games: Mockingjay - Part 1 ,Francis Lawrence,123,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,337103873,125000000,2014
The Da Vinci Code ,Ron Howard,174,Tom Hanks,Seth Gabel,Jürgen Prochnow,217536138,125000000,2006
Rio 2 ,Carlos Saldanha,101,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,131536019,103000000,2014
X-Men 2 ,Bryan Singer,134,Hugh Jackman,Bruce Davison,Aaron Stanford,214948780,110000000,2003
Fast Five ,Justin Lin,132,Paul Walker,Vin Diesel,Dwayne Johnson,209805005,125000000,2011
Sherlock Holmes: A Game of Shadows ,Guy Ritchie,129,Robert Downey Jr.,Eddie Marsan,Paul Anderson,186830669,125000000,2011
Clash of the Titans ,Louis Leterrier,106,Liam Neeson,Jason Flemyng,Alexa Davalos,163192114,125000000,2010
Total Recall ,Paul Verhoeven,113,Ronny Cox,Rachel Ticotin,Marshall Bell,119412921,65000000,1990
The 13th Warrior ,John McTiernan,102,Tony Curran,Vladimir Kulich,Clive Russell,32694788,85000000,1999
The Bourne Legacy ,Tony Gilroy,135,Jeremy Renner,Scott Glenn,Stacy Keach,113165635,125000000,2012
Batman & Robin ,Joel Schumacher,125,Michael Gough,Vivica A. Fox,John Glover,107285004,125000000,1997
How the Grinch Stole Christmas ,Ron Howard,110,Clint Howard,T.J. Thyne,Molly Shannon,260031035,123000000,2000
The Day After Tomorrow ,Roland Emmerich,124,Jake Gyllenhaal,Dennis Quaid,Sela Ward,186739919,125000000,2004
Mission: Impossible II ,John Woo,123,Tom Cruise,Dougray Scott,Richard Roxburgh,215397307,125000000,2000
The Perfect Storm ,Wolfgang Petersen,130,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,182618434,140000000,2000
Fantastic 4: Rise of the Silver Surfer ,Tim Story,92,Chris Evans,Ioan Gruffudd,Andre Braugher,131920333,130000000,2007
Life of Pi ,Ang Lee,127,Suraj Sharma,Rafe Spall,Tabu,124976634,120000000,2012
Ghost Rider ,Mark Steven Johnson,123,Nicolas Cage,Matt Long,Peter Fonda,115802596,110000000,2007
Jason Bourne ,Paul Greengrass,123,Matt Damon,Riz Ahmed,Ato Essandoh,108521835,120000000,2016
Charlie's Angels: Full Throttle ,McG,107,Demi Moore,Bernie Mac,Justin Theroux,100685880,120000000,2003
Prometheus ,Ridley Scott,124,Michael Fassbender,Charlize Theron,Sean Harris,126464904,130000000,2012
Stuart Little 2 ,Rob Minkoff,77,Nathan Lane,Brad Garrett,Melanie Griffith,64736114,120000000,2002
Elysium ,Neill Blomkamp,109,Matt Damon,Sharlto Copley,Alice Braga,93050117,115000000,2013
The Chronicles of Riddick ,David Twohy,134,Vin Diesel,Alexa Davalos,Christina Cox,57637485,105000000,2004
RoboCop ,José Padilha,117,Gary Oldman,Abbie Cornish,Jennifer Ehle,58607007,100000000,2014
Speed Racer ,Lana Wachowski,135,Scott Porter,Kick Gurry,Nicholas Elia,43929341,120000000,2008
How Do You Know ,James L. Brooks,121,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,30212620,120000000,2010
Knight and Day ,James Mangold,117,Tom Cruise,Marc Blucas,Jordi Mollà,76418654,117000000,2010
Oblivion ,Joseph Kosinski,124,Morgan Freeman,Tom Cruise,Zoë Bell,89021735,120000000,2013
Star Wars: Episode III - Revenge of the Sith ,George Lucas,140,Natalie Portman,Christopher Lee,Hayden Christensen,380262555,113000000,2005
Star Wars: Episode II - Attack of the Clones ,George Lucas,142,Natalie Portman,Christopher Lee,Hayden Christensen,310675583,115000000,2002
